Batch#,STPP_Dosing Time,STPP_QTY,SODAL 1_Dosing Time,SODAL 1_QTY,LABSA_Dosing Time,LABSA_QTY,Mixing-1,Colour_Dosing Time,Colour_QTY,Mixing-2,Frisis + Feldspar_Dosing Time,Frisis + Feldspar_QTY,Mixing-3,HA 20_Dosing Time,HA 20_QTY,Mixing-4,SODAL 2_Dosing Time,SODAL 2_QTY,Mixing-5,Phosphoric Acid_Dosing Time,Phosphoric Acid_QTY,Mixing-6,Sodium Silicate_Dosing Time,Sodium Silicate_QTY,Mixing-7,Perfume_Dosing Time,Perfume_QTY,Mixing-8,Total Mixing Time,IDLE Time before PV,Median_BatchPV
Batch-29,31,170,157,719,89,463,236,58,16,60,36,337,176,25,81,130,188,641,122,819,252,293,21,67,27,47,2,31,1075,1758,27
Batch-30,15,170,139,719,123,468,274,20,16,48,37,337,158,25,79,120,209,646,179,806,256,304,25,62,28,15,2,30,1141,1279,28
Batch-31,35,170,163,719,108,468,249,75,15,16,37,341,162,26,81,150,214,636,135,809,261,324,19,61,30,58,2,28,1094,2027,28
Batch-32,31,170,169,719,103,463,237,115,14,32,41,345,173,28,80,153,184,640,163,807,251,314,22,70,27,17,2,30,1129,1802,28
Batch-33,16,170,132,721,112,461,239,101,16,51,35,344,165,26,80,152,108,651,151,813,263,319,16,66,28,20,2,28,1133,2919,29
Batch-34,25,170,121,720,85,460,243,4,14,40,35,343,173,29,80,157,212,642,146,791,257,336,19,67,30,51,2,29,1148,5508,31
Batch-35,19,170,173,720,89,464,273,28,15,5,38,337,179,28,81,144,156,659,168,823,263,326,19,61,30,38,2,28,1148,750,28
Batch-36,23,170,172,721,112,462,295,54,16,32,29,342,154,27,79,149,178,656,123,778,262,311,20,62,31,50,2,29,1124,1665,27
Batch-37,23,170,144,720,80,469,279,110,15,16,33,344,164,27,80,121,114,658,138,765,247,307,23,60,33,62,2,29,1087,2859,28
Batch-38,33,170,191,719,83,470,272,16,14,8,38,336,178,26,81,151,216,659,139,845,259,334,20,67,31,4,2,30,1143,3360,30
Batch-39,27,170,183,720,87,465,282,112,16,16,26,335,154,29,79,145,123,654,161,803,249,325,16,61,33,33,2,29,1145,2196,29
Batch-40,30,170,124,721,100,468,298,54,16,40,41,339,167,26,80,156,174,639,160,840,250,295,19,66,32,33,2,30,1148,715,28
Batch-41,16,170,170,720,86,465,294,100,14,18,39,345,179,25,81,139,206,643,153,816,261,302,19,62,31,12,2,28,1144,2594,30
Batch-42,34,170,200,720,82,468,247,21,15,35,36,335,176,26,79,131,209,653,152,835,249,293,25,64,33,31,2,28,1095,2466,29
Batch-43,33,170,184,720,84,470,279,102,15,36,38,341,169,27,79,159,106,661,164,804,244,334,24,61,29,34,2,30,1148,1939,29
Batch-44,27,170,184,719,101,462,291,6,14,20,39,341,164,26,80,164,139,648,174,791,258,313,21,69,29,43,2,29,1148,5746,33
Batch-45,24,170,176,719,111,467,268,51,15,32,32,341,162,26,79,143,214,644,173,781,262,334,20,63,30,62,2,30,1148,1961,29
Batch-46,32,170,153,721,125,469,283,73,16,42,41,339,174,25,81,122,165,647,128,758,255,297,24,65,31,51,2,28,1105,4170,30
Batch-47,36,170,149,721,81,460,300,20,16,13,34,338,174,25,81,138,120,638,152,824,252,331,19,63,31,59,2,30,1148,5607,32
Batch-48,36,170,118,721,121,469,292,114,14,27,38,337,164,29,79,133,164,643,125,843,248,311,19,63,29,59,2,28,1109,3897,30
Batch-49,33,170,127,719,90,460,254,68,15,14,26,336,157,29,81,152,155,649,122,854,264,303,16,61,27,53,2,28,1057,3504,29
Batch-50,38,170,197,720,131,462,296,114,16,25,34,345,160,25,80,160,181,655,152,772,253,316,20,62,27,27,2,29,1148,777,27
Batch-51,24,170,165,721,120,463,238,58,16,55,26,341,172,26,81,122,146,639,137,833,265,305,19,65,30,39,2,30,1089,2888,29
Batch-52,17,170,188,720,114,460,289,6,16,16,32,344,180,28,81,144,220,655,149,814,255,297,20,61,31,63,2,31,1137,4064,31
Batch-53,31,170,180,721,108,469,268,107,14,24,41,338,158,29,80,156,215,646,135,813,250,329,16,70,27,25,2,31,1128,660,27
Batch-54,39,170,180,719,84,460,285,70,15,5,39,339,158,29,80,158,112,660,165,779,259,298,20,67,30,3,2,29,1128,2760,29
Batch-55,26,170,178,720,78,467,245,109,15,56,35,342,172,26,81,153,166,664,148,852,254,300,25,65,31,13,2,29,1134,2694,29
Batch-56,25,170,154,720,107,467,261,75,15,41,40,339,164,29,80,147,140,662,145,772,251,310,15,65,28,37,2,31,1127,2678,28
Batch-57,39,170,144,721,103,467,237,106,16,44,34,345,166,29,80,140,186,643,165,831,255,329,24,66,29,9,2,28,1138,763,27
Batch-58,30,170,146,721,102,464,293,108,14,56,29,344,171,27,80,145,171,635,173,818,258,318,24,67,29,12,2,28,1148,5898,33
Batch-59,36,170,195,719,83,463,286,90,16,49,31,338,165,29,81,163,182,660,145,858,247,330,16,65,31,5,2,29,1148,2350,29
Batch-60,32,170,136,719,104,466,275,66,14,43,37,337,167,27,81,146,110,635,147,852,260,301,18,61,33,63,2,30,1142,5678,32
Batch-61,36,170,137,721,116,469,234,7,16,4,38,339,175,29,81,164,108,663,145,798,265,301,20,65,27,38,2,30,1080,3671,30
Batch-62,21,170,151,720,117,467,276,15,15,48,33,339,178,27,81,128,181,660,161,808,260,323,19,63,31,54,2,29,1148,1501,29
Batch-63,21,170,120,719,76,464,263,60,15,58,29,344,170,26,79,121,178,641,148,814,259,302,16,65,30,14,2,31,1123,5199,31
Batch-64,18,170,176,719,91,466,263,15,15,61,39,338,156,27,81,120,124,660,139,804,243,321,17,66,28,61,2,28,1116,2078,28
Batch-65,36,170,123,720,129,470,277,37,16,6,31,345,164,26,79,127,158,644,123,814,245,333,20,70,27,44,2,29,1086,3769,29
Batch-66,15,170,144,720,116,468,266,99,16,48,40,337,179,27,81,136,101,635,154,832,264,335,19,66,27,4,2,29,1148,1335,29
Batch-67,36,170,128,720,81,466,284,11,15,28,31,336,174,27,81,121,121,663,147,793,261,304,18,66,33,21,2,31,1122,5053,31
Batch-68,26,170,119,720,95,460,246,49,15,50,33,337,155,27,81,122,153,645,143,833,254,335,23,64,33,54,2,30,1114,1610,27
Batch-69,24,170,169,721,111,467,241,37,14,34,38,340,167,28,81,156,159,641,161,810,260,301,24,60,33,5,2,29,1122,1738,28
Batch-70,28,170,163,721,127,465,263,25,15,54,33,342,163,27,81,135,222,658,132,757,255,301,20,63,27,12,2,28,1103,3293,29
Batch-71,19,170,151,720,79,466,256,94,15,47,37,337,164,26,80,159,203,645,141,761,257,327,25,68,32,29,2,29,1148,2733,29
Batch-72,39,170,169,719,109,462,238,44,16,35,40,336,158,26,80,155,118,639,169,793,253,294,19,69,32,30,2,28,1109,5017,31
Batch-73,27,170,112,719,118,470,279,64,16,48,30,336,179,25,79,132,111,644,132,765,259,314,19,64,29,57,2,28,1141,1376,28
Batch-74,37,170,130,721,107,470,269,80,15,33,39,343,168,28,80,129,173,659,164,766,259,324,24,65,27,3,2,30,1144,887,28
Batch-75,35,170,120,720,114,460,295,75,16,41,37,338,175,29,80,123,114,650,131,795,255,332,16,70,32,63,2,31,1148,4967,31
Batch-76,26,170,155,721,101,463,247,51,15,36,27,338,167,28,80,129,105,643,171,847,259,302,26,67,33,64,2,28,1113,5758,32
Batch-77,25,170,175,719,106,462,267,119,16,27,38,343,158,26,79,152,207,638,134,843,260,295,22,62,32,37,2,28,1093,2782,29
Batch-78,37,170,134,721,122,468,283,67,16,46,32,336,163,27,79,139,201,641,137,792,257,336,20,61,33,12,2,29,1148,4138,30
Batch-79,34,170,196,720,104,470,279,11,15,51,30,335,155,27,81,155,142,660,166,835,244,298,22,61,30,50,2,28,1148,4913,31
Batch-80,31,170,172,720,119,463,250,114,16,53,29,339,175,29,81,152,193,664,172,780,263,310,23,65,27,22,2,30,1148,4793,31
Batch-81,32,170,199,719,86,469,258,76,15,32,32,341,164,25,79,127,126,664,156,828,256,311,24,69,33,52,2,31,1112,4784,31
Batch-82,29,170,194,720,122,469,252,45,15,16,32,344,156,26,79,152,132,654,145,804,256,331,24,63,29,52,2,29,1110,1995,28
Batch-83,36,170,105,721,91,467,252,9,15,30,27,344,173,29,81,121,208,639,174,841,263,300,18,68,32,25,2,31,1113,2442,29
Batch-84,16,170,141,721,125,467,264,115,15,57,36,339,163,26,81,122,160,656,129,822,256,303,25,64,29,31,2,29,1096,2714,28
Batch-85,37,170,194,719,88,461,249,116,15,46,29,336,180,28,79,140,141,652,172,792,247,328,24,62,31,61,2,29,1148,2726,29
Batch-86,31,170,170,721,136,461,262,97,16,51,39,335,170,25,79,152,172,638,159,806,245,321,26,60,28,26,2,29,1148,3006,29
Batch-87,39,170,185,721,126,465,243,34,16,9,28,343,163,25,80,122,158,635,166,756,243,327,19,69,32,12,2,30,1092,2232,28
Batch-88,16,170,150,720,81,461,287,124,15,35,31,336,178,27,81,151,148,647,149,833,264,308,23,68,28,7,2,30,1148,911,28
Batch-89,17,170,120,720,105,463,299,71,16,19,37,336,172,25,79,149,147,657,173,766,260,330,25,61,30,56,2,29,1148,1583,29
Batch-90,17,170,116,719,76,461,262,76,16,58,41,341,171,27,79,128,139,641,121,814,243,331,23,66,33,29,2,31,1135,5237,31
Batch-91,38,170,111,720,93,463,256,40,16,33,27,336,162,26,80,124,165,654,131,806,265,323,22,68,32,11,2,31,1092,5804,31
Batch-92,37,170,200,720,123,468,287,15,15,14,29,335,169,26,81,138,110,643,164,764,249,326,20,70,30,64,2,30,1148,3458,30
Batch-93,34,170,125,719,77,467,239,122,16,27,39,344,166,25,79,164,121,635,133,822,249,334,20,69,31,58,2,29,1123,1796,27
Batch-94,36,170,144,719,102,460,298,97,16,17,31,341,171,29,80,123,207,643,180,786,246,314,25,63,31,29,2,31,1148,4798,32
Batch-95,30,170,150,721,93,464,298,43,16,12,28,335,159,27,80,159,143,638,175,832,254,306,20,68,29,9,2,28,1148,4769,32
Batch-96,35,170,197,720,123,470,288,77,15,55,39,335,161,29,80,149,109,653,157,838,263,303,16,66,30,56,2,30,1148,1832,29
Batch-97,21,170,104,719,136,467,252,39,16,29,41,339,178,27,81,152,121,642,152,760,265,336,18,70,29,61,2,28,1148,1305,28
Batch-98,36,170,184,721,101,462,243,95,14,23,32,340,174,25,80,148,197,645,160,820,249,308,19,69,27,61,2,28,1111,4638,31
Batch-99,35,170,137,721,119,460,282,24,16,61,36,341,153,29,79,123,212,657,158,770,261,312,15,65,33,26,2,28,1148,5913,32
Batch-100,39,170,105,721,132,470,258,72,14,48,38,336,162,25,79,122,127,636,163,851,248,336,22,64,27,5,2,29,1145,5049,31
Batch-101,21,170,176,720,120,462,246,4,14,9,41,342,179,27,80,143,148,658,181,809,247,322,20,70,32,55,2,30,1142,3461,30
Batch-102,17,170,123,720,121,467,270,105,15,11,39,335,177,29,79,122,107,656,161,774,260,309,23,67,29,48,2,28,1107,5658,32
Batch-103,30,170,145,719,136,469,246,65,15,30,33,344,175,25,80,162,141,659,137,794,263,326,25,69,31,49,2,29,1136,2191,28
Batch-104,30,170,123,719,104,460,259,57,15,17,29,343,154,25,80,161,149,649,132,763,247,317,22,62,33,26,2,28,1101,5390,30
Batch-105,15,170,122,719,133,460,267,119,14,46,31,344,158,25,79,157,182,657,179,825,256,334,20,70,29,14,2,31,1148,4495,31
Batch-106,23,170,121,721,97,465,262,83,16,36,32,336,153,27,81,134,185,638,138,842,260,329,19,65,28,44,2,28,1108,668,27
Batch-107,36,170,175,720,91,469,237,47,16,29,32,343,168,29,80,123,114,663,129,849,263,298,26,60,27,35,2,28,1039,4221,30
Batch-108,29,170,141,719,128,468,267,103,15,15,30,344,174,26,80,133,126,657,180,840,243,312,16,60,33,13,2,30,1144,5605,32
Batch-109,35,170,158,720,93,462,240,93,14,18,33,338,178,25,80,152,177,643,164,791,256,318,22,69,29,9,2,31,1130,1254,28
Batch-110,19,170,180,721,119,470,254,121,16,29,31,343,177,29,80,154,174,664,153,772,253,314,20,64,27,26,2,31,1139,1224,27
Batch-111,23,170,136,719,97,465,300,29,14,59,41,340,180,29,81,155,179,656,145,768,250,321,25,62,32,57,2,31,1148,2127,29
Batch-112,31,170,145,721,91,462,280,30,16,17,28,340,157,25,80,140,133,644,154,813,263,336,23,61,31,23,2,28,1143,5863,32
Batch-113,30,170,132,720,105,460,246,77,14,58,33,342,177,26,79,135,137,656,141,757,247,315,23,62,28,30,2,31,1131,4004,29
Batch-114,31,170,128,721,99,461,244,42,14,55,28,340,159,27,81,120,214,663,147,821,257,315,17,63,33,45,2,31,1104,2961,29
Batch-115,39,170,195,721,107,470,281,92,15,55,38,337,154,26,80,144,216,644,159,811,250,298,18,68,27,36,2,29,1147,3205,29
Batch-116,15,170,191,721,89,465,235,38,16,59,27,338,162,25,81,120,154,638,159,804,262,294,21,70,30,27,2,30,1089,1983,28
Batch-117,34,170,170,721,99,463,275,82,14,57,34,337,153,27,79,132,147,646,158,813,254,336,20,63,27,60,2,30,1148,4158,30
Batch-118,38,170,181,721,114,462,251,23,14,9,40,342,179,29,80,164,197,664,144,772,258,302,18,61,32,19,2,29,1110,4823,31
Batch-119,29,170,140,721,128,470,253,98,14,36,34,345,167,28,79,136,197,641,174,777,247,312,25,65,33,21,2,30,1141,2965,29
Batch-120,29,170,173,720,124,468,242,76,14,28,27,344,179,27,80,160,113,638,137,757,252,300,26,67,29,10,2,28,1103,2172,28
Batch-121,33,170,144,721,120,468,250,21,15,58,32,338,164,29,79,161,167,642,137,841,245,330,17,62,28,22,2,29,1148,1662,28
Batch-122,17,170,200,721,132,466,290,108,15,31,26,338,166,25,80,125,199,636,165,834,251,332,15,65,33,59,2,28,1148,5263,32
Batch-123,20,170,185,721,90,463,273,48,14,61,32,336,174,26,81,123,174,647,144,849,249,335,20,69,27,30,2,31,1148,5116,31
Batch-124,24,170,107,721,109,468,288,104,15,17,27,344,161,26,80,149,102,636,134,838,252,300,25,68,28,30,2,30,1107,1224,27
Batch-125,29,170,176,719,109,470,261,21,15,22,39,341,156,26,80,129,200,643,146,827,265,302,23,69,32,17,2,28,1076,1054,27
Batch-126,32,170,162,720,122,470,253,60,15,31,37,336,153,26,81,129,167,645,176,800,243,299,19,60,33,43,2,28,1102,2866,29
Batch-127,19,170,162,720,118,462,243,34,15,60,30,335,174,29,81,156,142,655,160,773,249,337,20,68,29,64,2,28,1148,5827,32
Batch-128,25,170,193,719,134,463,251,89,16,39,37,335,158,28,80,136,179,645,139,837,249,324,18,68,29,28,2,29,1105,4360,30
Batch-129,30,170,153,721,84,467,234,77,16,47,29,335,157,28,81,124,159,651,134,778,262,312,17,67,27,46,2,29,1064,2677,28
Batch-130,33,170,152,719,79,465,260,6,15,53,39,337,177,25,79,120,114,653,147,776,253,313,22,68,29,39,2,28,1127,1873,28
Batch-131,39,170,193,721,78,460,293,25,16,32,29,341,156,28,81,151,119,650,153,761,265,323,21,66,29,12,2,28,1148,1527,28
Batch-132,25,170,164,721,101,466,278,75,14,53,27,345,168,25,81,126,209,646,178,840,255,331,25,60,29,62,2,30,1148,2452,30
Batch-133,26,170,135,719,109,462,273,54,15,11,39,337,176,27,81,123,162,642,161,816,250,305,23,67,27,32,2,30,1106,3374,30
Batch-134,37,170,198,719,92,469,266,26,14,55,30,335,181,27,81,129,106,653,142,802,264,326,18,62,31,24,2,31,1148,4657,31
Batch-135,26,170,128,720,127,467,297,84,15,52,26,337,157,25,80,152,182,661,131,849,263,298,24,64,31,26,2,29,1147,4706,31
Batch-136,24,170,145,719,119,470,251,115,15,16,33,338,156,26,80,147,140,637,172,846,243,314,15,64,31,52,2,30,1117,5176,31
Batch-137,28,170,119,719,103,470,235,93,16,60,35,344,158,28,80,138,154,650,154,804,245,319,19,64,28,51,2,28,1120,4552,30
Batch-138,38,170,132,720,125,464,252,6,15,50,40,338,181,25,81,125,162,641,136,760,261,324,22,64,29,8,2,30,1127,3687,30
Batch-139,16,170,183,720,135,463,256,78,14,59,40,335,165,25,79,128,101,644,130,820,256,296,15,66,33,13,2,29,1096,4339,30
Batch-140,27,170,120,719,91,469,284,110,14,12,39,343,163,27,79,149,173,652,139,816,261,293,18,61,29,51,2,28,1097,4989,31
Batch-141,31,170,127,719,123,467,270,77,14,36,33,341,161,29,79,161,162,650,130,774,245,314,19,63,29,58,2,29,1130,3008,28
Batch-142,38,170,145,721,86,463,296,44,16,8,29,339,173,28,81,144,175,658,153,846,251,317,19,62,29,9,2,31,1148,1139,28
Batch-143,25,170,163,721,101,461,253,69,14,38,29,341,162,28,80,160,203,652,131,789,258,336,19,69,27,25,2,29,1136,5054,31
Batch-144,33,170,151,719,125,463,252,9,15,9,40,337,181,29,80,160,139,646,123,853,257,301,17,61,32,38,2,30,1088,4287,30
Batch-145,34,170,161,720,125,469,279,49,16,31,26,342,178,26,80,151,106,646,155,794,261,318,16,69,28,6,2,30,1148,3745,31
Batch-146,15,170,194,720,121,463,298,16,16,45,35,337,153,29,81,157,115,650,124,819,248,322,24,70,28,15,2,30,1148,3237,29
Batch-147,39,170,144,719,118,466,294,10,15,25,37,338,164,29,80,122,139,636,154,801,250,328,24,62,28,55,2,29,1144,5439,32
Batch-148,18,170,185,719,91,464,268,46,15,29,32,341,166,29,81,129,222,642,140,803,254,325,26,63,28,57,2,29,1114,3783,30
Batch-149,30,170,120,719,116,465,268,47,15,38,40,342,163,26,81,148,184,638,153,782,251,300,21,67,29,28,2,30,1129,1984,28
Batch-150,22,170,110,719,104,467,234,17,16,40,35,345,168,29,80,141,184,653,142,811,254,303,22,64,33,53,2,28,1089,3706,29
Batch-151,31,170,200,720,112,464,247,112,16,6,39,337,170,25,79,164,198,659,144,827,254,333,17,63,31,62,2,30,1125,3877,30
Batch-152,37,170,158,719,82,464,246,115,16,18,26,335,155,27,81,158,152,657,140,789,264,330,24,64,33,7,2,31,1111,3969,30
Batch-153,39,170,118,719,98,463,253,122,16,56,41,339,161,28,80,153,170,661,180,843,249,316,17,66,32,11,2,31,1148,3722,30
Batch-154,38,170,144,719,94,465,286,62,15,48,40,343,156,25,80,135,141,662,155,844,255,307,19,67,28,4,2,28,1143,4949,31
Batch-155,18,170,106,720,102,462,269,90,15,27,28,341,173,26,80,144,126,636,139,786,254,319,20,60,29,48,2,28,1128,4007,30
Batch-156,33,170,147,721,99,460,281,93,14,49,40,335,181,27,81,125,163,638,147,819,259,310,17,66,33,42,2,30,1148,1800,29
Batch-157,31,170,164,719,114,467,281,119,16,23,30,344,154,28,79,131,175,658,137,839,259,299,21,60,30,9,2,31,1086,696,27
Batch-158,19,170,144,719,81,466,300,29,16,57,29,335,165,28,81,159,202,643,166,801,246,319,22,66,33,62,2,29,1148,1151,28
Batch-159,31,170,147,721,104,463,240,14,15,26,41,339,177,26,79,161,196,660,123,837,244,337,24,69,32,36,2,30,1126,2895,28
Batch-160,22,170,103,719,89,463,265,56,16,46,31,337,177,29,79,127,186,640,164,790,244,315,26,69,33,32,2,28,1148,3785,30
Batch-161,32,170,150,721,90,462,240,69,16,41,38,335,161,26,80,135,101,639,124,851,259,312,26,60,31,36,2,30,1074,2518,28
Batch-162,23,170,141,721,119,464,295,89,15,38,29,341,173,29,79,145,140,645,127,826,247,301,22,68,28,12,2,30,1137,2941,29
Batch-163,32,170,191,719,79,465,240,85,14,5,29,336,157,27,80,150,189,648,124,819,244,327,24,62,28,6,2,31,1062,1197,23
Batch-164,15,170,123,721,99,464,265,29,16,19,26,340,165,27,80,143,149,661,165,774,251,298,19,64,30,14,2,31,1116,1391,28
Batch-165,28,170,116,720,118,467,281,95,15,59,35,337,154,27,80,142,132,662,150,765,251,311,16,63,31,59,2,29,1148,2173,28
Batch-166,23,170,141,721,119,463,263,37,15,53,35,338,153,26,80,143,135,642,168,767,245,330,18,64,32,10,2,28,1148,2214,28
Batch-167,19,170,106,721,79,462,298,49,15,12,28,340,170,25,81,143,138,636,138,844,264,325,26,61,32,38,2,28,1146,4218,31
Batch-168,35,170,164,721,76,460,264,114,15,31,38,343,153,29,81,158,126,650,161,842,255,329,20,70,27,23,2,28,1148,5272,32
Batch-169,33,170,119,721,114,464,290,60,14,44,30,342,172,29,79,159,106,636,130,778,250,293,21,69,29,7,2,31,1148,5174,31
Batch-170,17,170,152,719,85,467,262,119,16,35,36,338,176,26,81,124,157,635,130,836,245,295,21,62,31,29,2,28,1081,4324,30
Batch-171,36,170,125,719,104,462,260,89,16,33,40,343,176,29,81,137,137,643,170,834,247,316,23,61,30,4,2,31,1148,5889,32
Batch-172,19,170,126,720,123,467,259,22,15,11,38,335,153,26,81,151,184,647,167,808,263,301,15,62,33,21,2,28,1103,1694,28
Batch-173,29,170,175,719,132,462,234,84,14,30,33,343,155,25,80,136,168,636,138,768,265,319,16,61,33,45,2,30,1075,4144,29
Batch-174,16,170,137,719,126,463,260,65,16,39,35,341,158,25,80,121,119,637,155,786,244,307,17,67,29,41,2,31,1100,829,27
Batch-175,33,170,104,721,134,464,268,94,14,53,31,344,164,25,80,129,208,638,147,815,256,306,20,66,27,52,2,30,1124,2007,28
Batch-176,24,170,150,719,107,470,259,82,14,27,27,335,159,28,79,142,176,647,157,811,243,328,15,70,31,50,2,29,1132,5683,31
Batch-177,28,170,196,719,133,464,246,69,14,55,35,339,180,29,80,135,209,638,164,833,245,301,24,64,29,3,2,29,1139,1250,28
Batch-178,31,170,181,719,85,468,279,85,16,60,36,337,179,26,81,150,194,636,152,776,254,304,16,62,27,29,2,31,1148,3695,30
Batch-179,18,170,117,720,118,463,239,27,15,35,34,336,171,25,79,150,152,640,144,785,264,311,26,65,32,31,2,28,1110,3433,29
Batch-180,36,170,107,721,104,460,299,7,15,30,33,344,181,29,81,147,104,661,168,812,252,333,17,61,29,57,2,30,1148,815,28
Batch-181,36,170,154,720,121,466,253,85,14,42,33,340,164,27,81,132,153,656,164,796,264,331,23,62,33,44,2,29,1148,5294,32
Batch-182,21,170,164,719,116,462,246,13,15,45,32,340,172,26,81,128,114,663,159,835,245,322,21,70,31,55,2,28,1131,2213,28
Batch-183,35,170,107,719,94,468,292,31,16,18,36,340,179,25,79,124,149,656,174,819,261,307,15,63,32,17,2,30,1148,3228,31
Batch-184,28,170,177,720,109,463,241,69,14,56,34,338,156,29,80,163,166,650,137,787,261,294,24,60,32,56,2,31,1110,1967,27
Batch-185,25,170,110,719,105,469,282,65,14,19,27,343,173,29,81,157,105,636,121,827,257,314,23,70,33,20,2,28,1127,5655,32
Batch-186,26,170,163,720,118,469,237,113,14,4,28,344,176,27,81,147,167,652,141,778,252,294,18,69,29,49,2,30,1058,5381,31
Batch-187,24,170,147,720,132,466,234,117,15,47,34,341,168,28,79,126,106,636,161,783,246,331,16,65,32,16,2,31,1130,3420,29
Batch-188,29,170,200,720,91,466,255,49,15,52,35,335,166,29,81,164,211,661,151,773,258,295,15,63,33,23,2,30,1146,5860,32
Batch-189,24,170,183,721,87,462,300,40,16,45,29,339,181,29,79,135,122,649,157,791,247,337,25,69,33,38,2,29,1148,1824,29
Batch-190,37,170,198,719,106,461,265,62,14,17,26,343,176,25,81,139,156,659,152,818,257,318,17,63,32,60,2,28,1127,4340,31
